- Recover from Injury	- 怪我からの回復
|>23|?L|Despite the danger, Byrne came with you on the boat to Tsarath, eager to leave the memory of his time with Frico behind him.{LF}{LF}Wrapped in white robes, he hid in a leper colony where he thought nobody would look for a vampire, and he was so shocked by the understanding welcome he was given, he decided to make his permanent home there.{LF}{LF}He subsists on the blood of wildlife and of grateful volunteers, and he serves quietly as the colony's protector and their connection to the outside world.	|>23|?L|尽管危险重重，伯恩还是随你一同乘船来到了察拉斯，渴望将与弗利科共度的记忆抛在身后。{LF}{LF}他身裹白袍，藏身于一个麻风病人聚居地，以为没人会去那里搜寻吸血鬼。令他震惊的是，他受到了充满理解的欢迎，于是他决定将那里作为自己永久的家园。{LF}{LF}他依靠野生动物和心怀感激的志愿者的血液维生，默默担任着聚居地的保护者以及他们与外界联系的桥梁。
|>23|?L|Byrne seemed unsure of himself after the island's conquest was completed, afraid of his hunger and afraid that a purge of dangerous monsters might include him.{LF}{LF}In order to assuage his fears, you appointed Byrne as a dignitary, to be your point of contact with any communities of cooperative monsters still remaining on the island, and found him a personal cook who would be unafraid to get creative with including blood in the food.{LF}{LF}He immediately took to both, and now spends his days traveling the island with his entourage, swaddled in finery, and brokering alliances and contracts with those people less inclined to the light of day.{LF}{LF}He remains your friend, still reporting to you and frequently attending your events, and perhaps ironically, looking more the part of a vampire lord than ever before.	|>23|?L|岛屿的征服完成后，伯恩似乎对自己失去了信心，既害怕自己的饥渴，也担心针对危险怪物的肃清行动会波及自己。{LF}{LF}为了消除他的恐惧，你任命伯恩为使节，负责与岛上残存的、愿意合作的怪物社群联络，并为他找了一位不介意在食物中“别出心裁”地加入血液的私人厨师。{LF}{LF}他立刻对这两项安排都得心应手，如今终日与他的随从们一道，身着华服巡游岛屿，与那些不那么喜欢阳光的人们缔结联盟与契约。{LF}{LF}他依然是你的朋友，继续向你汇报并经常出席你的活动。或许颇具讽刺意味的是，他如今比以往任何时候都更像一位吸血鬼领主。
|>25|?L|After arriving in Tsarath, Logus contacted a few people who had heard of him, and managed to get signed on with a privateering crew as a ship's mate.{LF}{LF}He wasn't thrilled about having to take orders from someone else, but given the choice, he decided that it was more worth it to be out on the water than not, and as far as you know, he is still with that crew, running odd shipments for merchant houses.	|>25|?L|抵达察拉斯后，洛格斯联系了几个听说过他的人，并成功签约成为一艘私掠船的大副。{LF}{LF}他对于要听命于人并不热衷，但权衡之下，他认为能够出海还是比待在岸上更有价值。据你所知，他至今仍在那支船队，为各家商行运送些稀奇古怪的货物。
|>25|?L|With the seas calm once more, Logus was eager to return to the water. {LF}{LF}You appointed him Captain of one of the ships you seized from the Crest attacks, and he has been working supply lanes to Tsarath ever since.{LF}{LF}Although you still do not know him very well, he makes an effort to check in with you at the capital every so often, and he seems happy to have a crew of his own once again.	|>25|?L|随着海面重归平静，洛格斯渴望重返大海。{LF}{LF}你任命他为一艘从克雷斯特袭击中缴获的船只的船长，自此他便一直负责通往察拉斯的补给航线。{LF}{LF}虽然你对他仍不算十分了解，但他会时不时地尽力在首都与你联络，而且似乎对于能再次拥有自己的船员感到非常高兴。
|>26|?L|Logus stuck close to you when you arrived in Tsarath. He still had sympathetic contacts there, so he managed to find you shelter and work early on, and generally made the transition to your new surroundings much more agreeable.{LF}{LF}After a time, he began to feel the call of the sea once again, so he pulled some strings and eventually got put in charge of another ship working for a private merchant corps.{LF}{LF}He still tries to stay in touch with you when he can, but he is happy to be back in his element.	|>26|?L|当你抵达察拉斯时，洛格斯一直陪伴在你左右。他在那里仍有同情他的人脉，因此早早为你找到了栖身之所和工作，总体上让你们适应新环境的过程顺利了许多。{LF}{LF}过了一段时间，他再次听到了大海的召唤，于是动用关系，最终受命掌管另一艘为私人商船队服务的船只。{LF}{LF}他仍会在可能时尽量与你保持联系，但能回到自己如鱼得水的环境，他感到十分开心。
|>26|?L|Logus was anxious to get back out to the water once he knew it would be safe, but he seemed reluctant to just abandon you to the island. Seeing an opportunity for a compromise, you appointed him Admiral of Lukatt's navy.{LF}{LF}He tearfully and graciously accepted the offer, and worked hard to oversee the rebuilding of just such a navy.{LF}{LF}He spends more time in port than at sea, but he makes a point of captaining each new ship's maiden voyage and reporting to you in person on just how well the efforts are going.{LF}{LF}Admiral Logus remains a wise, available advisor, and a good friend.	|>26|?L|洛格斯一得知安全就急着想回海上，但似乎又不忍心把你一个人丢在岛上。你瞅准机会提出折中方案，任命他为卢卡特海军上将。{LF}{LF}他热泪盈眶地接受了任命，尽心尽力监督海军重建工作。{LF}{LF}他待在港口的时间比出海还多，但坚持亲自指挥每艘新船的处女航，并当面向你汇报进展。{LF}{LF}洛格斯上将始终是位睿智可靠的顾问，更是你的挚友。
|>28|?R	|>28|?R
|>28|?R|As your conquest of the island became inevitable, Grant returned to Hayill, and eventually became your point of contact with the Lycanthropes who made their home there.{LF}{LF}You still see him on occasion, mostly when it is time to discuss relations or policy, and he acts the same as he ever did, approaching his duty with a hard-swallowed stoicism.{LF}{LF}Hayill eventually becomes an important source of manpower, as the indefatigable people there spread out across the island, and werewolves become a common sight in the fledgling communities.	|>28|?R|随着岛屿征服已成定局，格兰特返回海伊尔，最终成为你与当地狼人部落的联络人。{LF}{LF}你们偶尔还会见面，多是商讨关系政策时，他依旧如常板着张苦行僧般的脸恪尽职守。{LF}{LF}当不知疲倦的狼人遍布全岛，海伊尔逐渐成为重要兵源基地，新兴社区里随处可见狼人的身影。
|>29|?R|Grant was reluctant to board the ship at first, but after a heart-to-heart talk, he decided that he could always return later, and nervously left his homeland behind him.{LF}{LF}More than able to keep pace with the orcs of Tsarath in terms of physical strength, he busied himself with being generally helpful, and eventually made himself a fixture on the docks in the town where you landed.{LF}{LF}He often wondered aloud about how long he should stay and about what he would say to his father when he went home, but one day, one of the other workers at the dock confessed to having feelings for him, and the talk of going home disappeared overnight.{LF}{LF}They live together now in a cabin they built themselves, and Grant's gruff demeanor seems to have softer corners.	|>29|?R|格兰特起初不愿登船，但推心置腹交谈后，他想着反正随时能回来，便忐忑地离开了故乡。{LF}{LF}他体力不输查拉斯的兽人，整日忙前忙后帮忙，后来在你登陆的城镇码头扎了根。{LF}{LF}他常嘀咕该待多久、回家怎么跟父亲交代，直到某天码头工友向他表白，还乡话题一夜消失。{LF}{LF}如今他们住在自建木屋，格兰特粗犷的性子也透出几分温柔。
|>29|?R|With the blessing of his father, Grant remained with you, to serve as a symbol of the Lycanthropes dedication to the new nation.{LF}{LF}He has remained close, helpful, and eager to pitch in, whether you need an extra pair of hands with rebuilding or an extra pair of folded arms at a negotiation table.{LF}{LF}Owing to his high visibility, Hayill soon sees a fair amount of immigration from the mainland and becomes a secondary hub for your government, overseeing the entirety of the Knightwood region.{LF}{LF}Werewolf guardsmen in uniform are a common sight in western towns, and common folk, once wary, have come to rely upon them.{LF}{LF}Grant is very proud of this, and remains your confidant and friend.	|>29|?R|得到父亲祝福的格兰特留在你身边，成为狼人对新国度忠诚的象征。{LF}{LF}无论是重建需要帮手还是谈判需要助力，他始终随叫随到，热心参与各项事务。{LF}{LF}因他知名度高，海伊尔很快迎来大量大陆移民，成为你政府管辖整个骑士林地区的副中心。{LF}{LF}西部城镇常见穿制服的狼人士兵，曾怀戒心的百姓也开始信赖他们。{LF}{LF}格兰特对此深感自豪，始终是你可托付秘密的挚友。
|>31|?R|Greave took the reformation of the island very seriously, and ended up making it his personal mission to dismantle the stocks and other facilities like it.{LF}{LF}He met surprisingly little opposition, and eventually gathered what few good guardsmen he could find and returned to the Crest mainland to make sure that the general populace heard all about what Lukatt really was.{LF}{LF}His news enraged the people, most of whom had a friend of a friend who had been shipped out, and now, at the risk of making enemies of a lot of powerful men, he is trying to start an inquest to uncover corruption within Crest's judiciary system.	|>31|?R|格里夫郑重对待岛屿改革，将拆除枷锁刑具等设施视为己任。{LF}{LF}他遭遇的阻力意外地小，后来带着少数优秀卫兵返回克雷斯特大陆，誓要让民众看清卢卡特真相。{LF}{LF}消息激起公愤——多数人都有亲友被流放至此。如今他不惜与权贵为敌，正全力推动司法系统腐败调查。
|>31|?R|Satisfied to be out of immediate danger, Greave soon made arrangements to return to the Crest mainland and report on what he had seen.{LF}{LF}He seemed confident that use of the stocks would cease once it became clear that escape was now possible, but when he tried to inform people what had happened, he was quickly tried as a deserter and found guilty.{LF}{LF}He is now interned somewhere on the mainland.	|>31|?R|脱离险境的格里夫很快安排返回克雷斯特大陆汇报见闻。{LF}{LF}他本以为越狱可能曝光后刑具会停用，但试图揭露真相时，反被迅速以逃兵罪定罪。{LF}{LF}如今他正被拘禁在大陆某处。
|>32|?R|Greave swore that he wouldn't let another travesty like the stocks occur again, so when the island was taken, he asked you to put him in charge of dismantling the remaining facilities.{LF}{LF}When he and his team marched on the stocks, they found them severely undermanned, and quickly rounded up what soldiers and prisoners remained.{LF}{LF}With a little work, he was able to convert the stocks into a coastal stronghold, and he remains there, helping to coordinate rebuilding efforts on the west coast of the island.{LF}{LF}Mainly, he focuses on preventing Crest infiltrators from interfering with the development of the young nation, and he remains dedicated and driven.	|>32|?R|格里夫发誓绝不让枷锁悲剧重演，占领岛屿后便主动请缨负责拆除剩余设施。{LF}{LF}他带队突袭刑场时发现守备空虚，很快控制留守士兵与囚犯。{LF}{LF}经他改造，刑场变海岸要塞，他驻守此地协调西岸重建工作。{LF}{LF}主要防范克雷斯特间谍干扰新生国家建设，始终充满干劲与奉献精神。
|>32|?R|Knowing that returning to Crest would be the end of him, Greave instead tried to get the word out about the atrocities of the island by notifying the Tsarathi authorities through anonymous missives.{LF}{LF}When the authorities failed to do anything about it, he took on the moniker ”Crowquill” and began distributing stories of events on the island to the public at large, leaving them in busy places and generally making himself impossible to find.{LF}{LF}Though nothing has been done in an official capacity, he buries a wry smile in his beard as he hears customers gossiping about his latest pages at the smithy where he works, and people have begun independantly copying and spreading his work around.{LF}{LF}Eventually, he tells you, something will snap.	|>32|?R|明知回到克雷斯特就是死路一条，格里夫转而尝试通过匿名信函向察拉提当局举报，试图将岛上的暴行公之于众。{LF}{LF}当局对此毫无作为后，他便以“鸦羽”为代号，开始向大众散布岛上事件的纪实报道——将文稿留在繁华地段，行踪飘忽不定。{LF}{LF}虽无官方行动，但听到铁匠铺顾客热议他最新发布的传单，眼见人们自发抄写传播他的作品，他总在络腮胡下掩藏一抹苦笑。{LF}{LF}他告诉你，终有一日，这根弦会绷断。
|>34|?R|Greening faced some significant culture shock when trying to integrate into Tsarathi life, finding little demand for his passionately-produced pastries.{LF}{LF}Settling for crafts gradually further and further from his heart, he eventually found a place in a butcher, where his careful eye for detail goes largely unappreciated.{LF}{LF}He gives away his conjured cookies for free, hoping they will catch on, but so far the only real demand comes from odd gangs of poor children.	|>34|?R|格林宁在融入察拉提生活时遭遇了严重的文化冲击——他倾注热情烤制的糕点竟无人问津。{LF}{LF}他不得不逐渐从事与初心相去甚远的手艺，最终在肉铺谋得职位，但精细的做事风格却无人赏识。{LF}{LF}他免费赠送用魔法变出的饼干，指望能打开销路，可迄今真正的顾客只有几群举止古怪的穷苦孩童。
|>34|?R|Once a permanent stronghold was established, Greening appointed himself ”dinnermaster” and set up a community eatery.{LF}{LF}He relies on some good old-fashioned cooking for the most part, only very occasionally (he promises) testing out his magicks on unsuspecting diners.{LF}{LF}For the most part, he remains well-liked among the people, and is glad to be using his talents for roasting entrees instead of enemies.	|>34|?R|永久据点刚建成，格林宁就自封“晚宴大师”，办起了社区食堂。{LF}{LF}他主要靠传统手艺做饭，只偶尔（他保证）对毫无戒心的食客试验魔法料理。{LF}{LF}总体而言他仍颇受居民欢迎，自己也庆幸能将烤制天赋用在料理而非烤焦敌人上。
|>35|?R|Greening seemed a bit lost once rebuilding efforts began, and was not particularly well-suited to the requisite labour.{LF}{LF}He made an effort to help out with provisioning whenever he could, and seemed to really enjoy it, so once you had enough hands to keep things running without him, you suggested that he open his own cafe, and he took to the notion with enthusiastic delight.{LF}{LF}He fussed over the precise design and layout of the place for far longer than was necessary, but eventually, he opened shop, and now he and a few carefully-trained assistants run a tight business.{LF}{LF}His cafe is particularly popular with visiting dignitaries who appreciate his eccentric taste and attention to detail, and he seems happy to be there.	|>35|?R|重建工作启动后，格林宁显得无所适从，体力活也非他所长。{LF}{LF}他总主动协助物资调配且乐在其中，待人手充足后，你便建议他开家咖啡馆，他欣喜若狂地采纳了。{LF}{LF}他为店面设计布局纠结了许久，最终咖啡馆顺利开张，如今他与几位精心培训的助手经营得井井有条。{LF}{LF}这家店尤其受访政要青睐——他们欣赏其独特品味与细节把控，而他也在此找到了归属。
|>35|?R|Not finding much demand for his pastries in Tsarath, Greening was nonetheless determined to make an impression on his stubborn orc hosts.{LF}{LF}He shifted his focus onto grilling, and through practice and arcane taboo, he was soon able to serve up a rack of barbequed ribs that even an ogre would swoon over.{LF}{LF}He now wages open war against empty orc bellies in his popular grill pit, where he serves strong sauce and stronger beer, and to his delight, he even manages to move a few baskets of butter biscuits now and then.	|>35|?R|尽管糕点不受察拉提人待见，格林宁仍决心打动固执的兽人东道主。{LF}{LF}他将重心转向烧烤，通过勤学苦练与秘法禁忌，很快便能烤出连食人魔都垂涎的肋排。{LF}{LF}如今他在火爆的烧烤摊向兽人空瘪的胃袋公开宣战，供应烈酱与更烈的啤酒；更令他欣喜的是，偶尔还能卖出几篮黄油饼干。
|>37|?R|Kirilo took almost immediately to watching out for newly-arriving immigrants, accompanying convoys along the roads and making sure that everybody was safely settled in.{LF}{LF}You hear mixed reports regarding him, some appreciative and others less so, but he is trying his best to stay involved and to give honest people a chance to dig in to their new lives.	|>37|?R|基里洛立即承担起照料新移民的职责，护送沿途车队并确保众人安稳落户。{LF}{LF}关于他的评价毁誉参半，但他始终努力保持参与，给踏实之人扎根新生活的机会。
|>37|?R|Used to being surrounded by humans, Kirilo was was accustomed to being stronger than his peers, but in Tsarath where competition for status is fierce, he found himself to be actually quite slight in comparison to his fellow orcs.{LF}{LF}When trying to stop a thief in the market one day, he found himself hopelessly outmatched, and was badly beaten. In the weeks that followed, poor medical care resulted in his condition worsening, and he spent his final night alone in an alley in an impoverished slum, his spirit as broken as his body.	|>37|?R|惯于在人类中生活的基里洛曾引以为傲的力量，在地位竞争激烈的察拉提却相形见绌。{LF}{LF}某日他试图在市场擒贼，竟遭彻底压制而重伤。随后数周因医治不善伤势恶化，最终在贫民窟暗巷孤身离世——精神与肉体皆已破碎。
|>38|?R|Kirilo seemed like he was going to involve himself regardless, so when smaller communities of immigrants began to form on the island, you appointed Kirilo the head of security for a group of them and gave him the authority and funds to hire his own people.{LF}{LF}He makes regular reports to you as to the status of his districts, and all reports suggest that under his guidance, those communities have remained very safe. {LF}{LF}He remains well-regarded by the downtrodden (and formerly downtrodden), and would have it no other way.{LF}{LF}	|>38|?R|见基里洛执意参与事务，待移民社群初具规模时，你便任命他担任安保主管，拨付资金让他自行组建团队。{LF}{LF}他定期汇报辖区状况，所有情报都显示在他的治理下社区治安良好。{LF}{LF}他始终深受底层民众（及曾经的受压迫者）敬重，而这也正是他心之所向。{LF}{LF}
|>38|?R|Kirilo, feeding his ever-present need to fight for the downtrodden, found his place in Tsarath at one of the many orphanages, where his kind and selfless attitude was quickly appreciated.{LF}{LF}He earns coin by working as a runner most days, and then returns home to his boys and to a gaffer who is growing more fond of him by the day.{LF}{LF}It isn't nearly as dramatic a life as he is used to, but he concedes that perhaps he has had enough life and death drama for one lifetime, and seems content to settle down.	|>38|?R|基里洛内心始终怀有为受压迫者而战的渴望，他在扎拉斯的众多孤儿院中找到了自己的位置，那里的人们很快就欣赏起他善良无私的态度。{LF}{LF}他大多日子靠当跑腿挣钱，然后回到他的孩子们和一位日渐喜欢他的老工头身边。{LF}{LF}这远不如他习惯的生活那样戏剧性，但他承认自己这辈子经历的生死戏剧已经够多了，似乎很满足于安定下来。
|>40|?L|Leftie was helpful and enthusiastic about repairing the boat, but on the morning you were ready to leave, he told you he wouldn't be coming.{LF}{LF}Still unwilling to speak of his crimes, he only said that he was better off on Lukatt, and would not be dissuaded.{LF}{LF}He wished you well and stood on the beach as you left, waving you off, and that was the last you ever saw or heard of him.	|>40|?L|左撇子对修船很热心，帮了不少忙，但在你们准备离开的那天早上，他却告诉你们他不打算一起走。{LF}{LF}他依然不愿谈及自己的罪行，只说留在卢卡特对他更好，态度坚决，不容劝说。{LF}{LF}他祝你们好运，在你们离开时站在海滩上挥手告别，这便是你们最后一次见到或听说他的消息。
|>40|?L|Leftie's mood turned foul as more people arrived on the island, and after the first few loads of immigrants arrived, he withdrew.{LF}{LF}You heard rumors that a man matching his description was spotted with a ragtag mercenary crew.{LF}{LF}Though you can't be certain if those rumors are true or not, one thing you can be sure of is that Leftie wants no part of civilized life.	|>40|?L|随着更多人来到岛上，左撇子的心情变得恶劣起来，在最初几批移民抵达后，他便消失了。{LF}{LF}你听到传闻，说有个符合他特征的人和一个杂牌佣兵团混在一起。{LF}{LF}虽然你无法确定这些传闻是真是假，但有一点可以肯定：左撇子根本不想过什么文明生活。
|>41|?L|When you chose to keep Leftie close instead of cutting him free, something moved within the giant man, and he devoted himself to you and to your campaigns wholeheartedly.{LF}{LF}His breadth of experience working odd jobs and his unsinkable constitution have made him an invaluable asset to the rebuilding efforts, and he is high in demand when labour teams are being chosen.{LF}{LF}Being away from the mainland long-term seems to have given him some sense of closure, and he works hard to ensure that his second chance at life is not wasted.{LF}{LF}He makes his home near your capital stronghold, and still makes efforts to see you as often as he can. He often tells you to call upon him at the slightest need, and regards you highly as both a leader and as a friend.	|>41|?L|当你选择把左撇子留在身边而不是让他离开时，这个巨汉内心似乎有所触动，从此全心全意地追随你，投身于你的各项行动。{LF}{LF}他干过各种杂活的丰富经验和打不垮的体魄，在重建工作中成了无价之宝，组建劳动队时他总是抢手人选。{LF}{LF}长期远离大陆似乎让他了结了某些心结，他努力工作，确保不浪费这第二次人生的机会。{LF}{LF}他在你首都要塞附近安了家，仍尽可能常来看你。他总说有事随时叫他，无论是作为领袖还是朋友，他都对你极为敬重。
|>41|?L|Initially, Leftie did not want to get on the boat, claiming that it was better for him to just stay and be forgotten.{LF}{LF}When you tried to convince him, he got agitated, and you fought in the sand.{LF}{LF}You punched him and told him you weren't leaving him behind, and he held you and wept, with the rest of your band awkwardly trying not to stare.{LF}{LF}Before long, you were gliding out to sea with Leftie by your side, his swollen black eye shining with appreciation.{LF}{LF}|In the years thet followed, Leftie was always close by, backing your every move and decision, and he never forgot that you were the one who had faith in him even when he had none in himself.{LF}{LF}He seemed wholly unbothered by a life of hard labour in his new home among the orcs of Tsarath, and he made a point of living somewhere nearby, and scarcely went more than a few days without at least stopping in to see how you were doing.{LF}{LF}Though he always had a quick temper, he was also loyal and quick to forgive, and you never observed Leftie to be the monster he claimed to be.	|>41|?L|起初，左撇子不肯上船，说他最好还是留下来被人遗忘。{LF}{LF}当你试图说服他时，他激动起来，你们在沙滩上打了起来。{LF}{LF}你给了他一拳，说不会丢下他不管，他抱住你哭了，队伍里其他人都尴尬地尽量不去看。{LF}{LF}不久后，你们便扬帆出海，左撇子就在你身边，他那乌青肿胀的眼睛里闪着感激的光。{LF}{LF}|在那之后的岁月里，左撇子始终紧随左右，支持你的每一个行动和决定，他从未忘记，在他自己都不相信自己时，是你给了他信任。{LF}{LF}他似乎完全不在意在扎拉斯兽人中间的新生活中所要付出的艰苦劳动，特意住在你附近，几乎每隔几天就会过来看看你怎么样。{LF}{LF}虽然他脾气一直很急，但也忠诚不二，气消得快，你从未觉得左撇子像他自称的那样是个怪物。
|>43|?L|Moria left after your battle with Leviathan was over, saying she had no interest in going back to the mainland.{LF}{LF}She packed up her meager things and headed off into the wilds of Lukatt alone, where she takes great satisfaction in her daily struggles to survive.	|>43|?L|与利维坦的战斗结束后，莫瑞亚就离开了，她说她对返回大陆没兴趣。{LF}{LF}她收拾起少得可怜的行装，独自一人深入卢卡特的荒野，在那里，为生存而进行的日常挣扎让她感到极大的满足。
|>43|?L|Although Moria participated eagerly in the conquest of the island, once all of the major battles had been won, she had little interest in participating further.{LF}{LF}She left to live on her own, away from the conveniences and confines of civilization, and you have heard no reports of her at all.{LF}{LF}Presumably she is happier to be left alone.	|>43|?L|虽然莫瑞亚曾积极参与征服此岛，但所有主要战事一结束，她便对后续事宜失去了兴趣。{LF}{LF}她离去独自生活，远离文明的便利与束缚，此后你便再也没听到过任何关于她的消息。{LF}{LF}想来她更乐意一个人待着。
|>44|?L|Moria, having been disillusioned on the trappings of modern civilization already, seemed uneasy when your campaigns shifted from battle to rebuilding. She clearly didn't want to be part of the bustle of new and growing communities.{LF}{LF}Knowing that she preferred her life to be hard-fought, you asked her if she would consider helping on the frontiers as a ranger, hunting and scouting, and this idea seemed to appeal to her.{LF}{LF}You hardly ever hear from her anymore, but she is spotted from time to time in town, selling pelts or meat at the marketplaces, and sometimes guiding lost travelers to safe communities.{LF}{LF}She clearly prefers to be left alone, but her continued participation tells you that she is content.	|>44|?L|莫里亚早已对现代文明的种种束缚感到幻灭，当你的行动重心从征战转向重建时，她显得颇为不安。显然，她并不想卷入新兴社区那种忙忙碌碌的氛围。{LF}{LF}你知道她更喜欢艰苦拼搏的生活，便问她是否愿意作为一名游侠去边疆效力，负责狩猎和侦察，这个提议似乎正合她意。{LF}{LF}如今你几乎收不到她的消息，只是偶尔有人在镇上看到她，在集市贩卖毛皮或肉类，有时也会为迷路的旅人指引通往安全社区的路。{LF}{LF}她显然更愿意独处，但她持续参与这些事务足以说明，她对现状是满意的。
|>44|?L|Although she had no love for the idea of returning to civilization, you managed to convince Moria that Tsarath would offer ample opportunities for a survivalist lifestyle, and she agreed to make the journey with you.{LF}{LF}Nearly immediately upon arrival, she set out for Tsarath's rugged tundra frontiers, and took up company with a band of loosely-affiliated nomads, moving from place to place as the seasons turned, and earning their living by the sweat of their labour.{LF}{LF}You only saw her once after that, but she was still strong, healthy, and glad to be living a life that she felt she had properly earned.	|>44|?L|尽管莫里亚对重返文明社会毫无兴趣，但你还是成功说服了她，告诉她萨拉思能为她这种生存主义者提供充足的机会，她最终同意与你同行。{LF}{LF}几乎是一抵达，她就直奔萨拉思崎岖的冻土边疆，加入了一个联系松散的游牧部落，随着季节更迭辗转各地，依靠辛勤的汗水谋生。{LF}{LF}那之后你只见过她一次，但她依然强壮、健康，并且为自己能过上这种她觉得是凭本事挣来的生活而感到高兴。
|>46|?R|Nazar was seemingly involved in everything once events on the island began to pick up. {LF}{LF}He participated eagerly in both the conquest and the rebuilding effort, lending a cheerful hand to anyone who asked.{LF}{LF}He still comes by your stronghold to see you from time to time, and last you heard from him, he was working with a shipbiulding crew in Greenback Bay.	|>46|?R|岛上的局势一旦开始好转，纳扎尔似乎就什么事都掺和一脚。{LF}{LF}无论是征服行动还是重建工作，他都积极参与，只要有人求助，他总会乐呵呵地伸出援手。{LF}{LF}他现在仍会时不时来你的要塞看望你，而你上次听到他的消息时，他正在绿背湾的一个造船队里工作。
|>46|?R|Nazar helped you make preparations for the trip, but refused to return to Tsarath, saying he preferred to remain on Lukatt instead.{LF}{LF}He went to Greenback Bay, where he found himself high in demand on labour teams and guard teams, as well as in the arms of lonely castaways, and is as happy there as he has ever been.	|>46|?R|纳扎尔帮你做好了旅行的准备，但拒绝返回萨拉思，说他更愿意留在卢卡特。{LF}{LF}他去了绿背湾，在那里，无论是劳务队、警卫队，还是寂寞的落难者的怀抱，他都大受欢迎，过得和以往一样快活。
|>47|?R|Torn between his dislike of Tsarathi laws and the idea of losing you to them, Nazar nervously accompanied you back to the mainland.{LF}{LF}Though he had grown up in one of the Tsarathi military schools, he had no family to speak of and no real place to go back to, so he stuck close by your side, an obvious affection for you shining through his every move.{LF}{LF}He was eventually able to find steady work as woodsman, and made his permanent home as close to you as he could manage.{LF}{LF}Indeed, it became hard to remember a time when Nazar's affection and support were not a constant feature of your life.	|>47|?R|纳扎尔既厌恶萨拉斯的律法，又怕你会因此离他而去，在两种情绪的撕扯下，他惴惴不安地陪你回到了大陆。{LF}{LF}尽管他是在萨拉斯的一所军事学校里长大的，但那里没有他的家人，也没有真正可称之为归宿的地方，所以他紧紧跟随着你，一举一动都透露出对你显而易见的爱慕。{LF}{LF}他最终找到了一份稳定的伐木工工作，并把永久住所安在了尽可能靠近你的地方。{LF}{LF}说真的，如今已经很难想象生活中没有纳扎尔的深情与支持会是什么样子了。
|>47|?R|Nazar made good on his promise to keep your shoulders warm, and he has cheerfully made a space for himself in your bed every night since that night in the old church.{LF}{LF}Once events with Crest began to settle down, and it became clear that life on the island would be more relaxed, the two of you were married formally, in a grand ceremony in the capital, before a crowd of hundreds of cheering Lukattites.{LF}{LF}Supporting both your efforts to help reconstruct life on the island and you personally, people began to quietly compare him to the memory of Maxim Spartill, lord consort of the island's last queen.{LF}{LF}As the closest and dearest admirer of his heroic form and demeanor, you find that comparison difficult to argue.	|>47|?R|纳扎尔兑现了为你暖床的承诺，自打那晚在老教堂过后，他每晚都高高兴兴地在你的床上占有一席之地。{LF}{LF}等到与克雷斯特相关的事件逐渐平息，岛上的生活显然将更为安宁时，你们二人在首都举行了一场盛大典礼，在数百名欢呼的卢卡特人见证下正式结为夫妻。{LF}{LF}他既支持你为重建岛屿生活所做的努力，也给予你个人无微不至的关怀，人们开始私下里将他比作岛上末代女王的配偶——马克西姆·斯帕蒂尔的往日风采。{LF}{LF}作为他最亲近、最珍视他英雄气概与风度的仰慕者，你发现这个比喻确实无可辩驳。
|>47|?R|Nazar was obviously distressed at the idea of going back to Tsarath, but he held your hand tightly as the view of the island grew distant across the water.{LF}{LF}When you arrived at the mainland, he was surprised to find the Tsarathi commonfolk showing a great deal of support and sympathy for those bearing the scapegoat brand.{LF}{LF}Without the need to live a secluded life, Nazar became a social member of the rural community where the two of you lived, and you were eventually married in a small temple, according to Tsarathi traditions.{LF}{LF}You live together in a cottage that you built with help from your neighbors, and your life is both simple and fulfilling.	|>47|?R|重返萨拉思这个念头显然让纳扎尔深感不安，但当岛屿的景色在水面上逐渐远去时，他紧紧握住了你的手。{LF}{LF}抵达大陆后，他惊讶地发现，萨拉斯的普通民众对那些带着替罪羊烙印的人表现出了极大的支持与同情。{LF}{LF}无需再过着与世隔绝的生活，纳扎尔成了你们所居住的乡村社区里一位善于交际的成员，你们最终按照萨拉斯的传统，在一座小神庙里结了婚。{LF}{LF}你们在邻居们的帮助下建起了一座小屋，共同居住其中，生活虽简朴，却无比充实。
|>47|?R|Nazar was eager to involve himself with the labour crews once rebuilding began, and quickly established himself as ”foreman” once again.{LF}{LF}He remained close to you, even as rebuilding efforts spread across the island, and you began to hear rumors that he was gaining something of a reputation as a heartbreaker. Apparently he attracted a great number of interested suitors, yet rebuffed them all.{LF}{LF}When you asked him about it in friendly conversation, he seemed rather embarassed, telling you that there was in fact someone whose eye he was hoping to catch.{LF}{LF}Nazar remains close by, making himself available for whatever you need, and continuing to turn away suitors while waiting patiently for the one he really wants to notice him.	|>47|?R|重建工作一开始，纳扎尔就迫不及待地加入了劳动队伍，很快又当上了“工头”。{LF}{LF}即使重建工作遍布全岛，他也始终陪伴在你身边。你还开始听到一些传闻，说他成了个“芳心纵火犯”。显然他吸引了不少追求者，但全都拒绝了。{LF}{LF}当你在闲聊中问起这事时，他显得有些尴尬，告诉你其实他心里早就有了想引起注意的人。{LF}{LF}纳扎尔依然守在你身边，随时听候差遣，一边拒绝着其他追求者，一边耐心等待着他真正想要的那个人能注意到他。
|>49|?R|Paul was happy to have been helpful with your survival, but he mostly got in the way when it came to repairing the boat, and he eventually decided that his time with you was at an end.{LF}{LF}He made a home for himself near Spartill Lodge, where he continues to work the forests for anyone willing to pay him for his time.	|>49|?R|保罗很庆幸能帮你活下来，但修船时他大多在帮倒忙，最后他觉得是时候离开你了。{LF}{LF}他在斯巴提尔旅馆附近安了家，继续为愿意付钱的人在林子里干活。
